title,url,price,log_price,brand,cpu_family,ram_gb,storage_gb,outlier_flag
"Lenovo IdeaPad Slim 3i 15IRU8 Core i3 13th Gen 512GB SSD Abyss Blue 15.6"" FHD Military Grade Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-15iru8-core-i3-13th-gen-512gb-ssd-abyss-blue-laptop,57500,10.959540226785442,Lenovo,Intel,8,512,FALSE
Tecno MEGABOOK K16S AMD Ryzen 5 7430U 16″ FHD Laptop,https://www.startech.com.bd/tecno-megabook-k16s-laptop,58500,10.976782033219948,Tecno,AMD,16,512,FALSE
Tecno MEGABOOK K15SDA AMD Ryzen 5 7430U 15.6″ FHD Laptop,https://www.startech.com.bd/tecno-megabook-k15sda-laptop,50000,10.819778284410283,Tecno,AMD,16,512,FALSE
"Acer Aspire Lite AL15-41 AMD Ryzen 5 5625U 15.6"" FHD Laptop",https://www.startech.com.bd/acer-aspire-lite-al15-41-ryzen-5-5625u-laptop,53900,10.89488575689709,Acer,AMD,8,512,FALSE
"Lenovo IdeaPad Slim 3i 15IRU8 Core i3 13th Gen 15.6"" FHD Military Grade Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3i-15iru8-core-i3-13th-gen-laptop,57500,10.959540226785442,Lenovo,Intel,8,512,FALSE
"Acer Aspire 3 A325-53 Core i3 13th Gen 15.6"" FHD Laptop Blue",https://www.startech.com.bd/acer-aspire-3-a325-53-core-i3-laptop,53800,10.893028746149875,Acer,Intel,8,512,FALSE
"Lenovo IdeaPad Slim 3 15IRU8 Core i3 13th Gen 15.6"" FHD Military Grade Laptop",https://www.startech.com.bd/lenovo-ideapad-slim-3-15iru8-core-i3-13th-gen-fhd-laptop,57500,10.959540226785442,Lenovo,Intel,8,512,FALSE
"Lenovo V14 Gen 4 Note PC Core i3 13th Gen 14"" FHD IPS Laptop",https://www.startech.com.bd/lenovo-v14-gen-4-i3-13th-gen-14-inch-laptop,58500,10.976782033219948,Lenovo,Intel,8,512,FALSE
"Chuwi CoreBook X Ryzen 5 7430U 14"" 2K QHD Laptop",https://www.startech.com.bd/chuwi-corebook-x-7430u-laptop,54900,10.913268627497622,Chuwi,AMD,16,512,FALSE
"Lenovo V15 Gen 4 Core i3 13th Gen 15.6"" FHD Laptop",https://www.startech.com.bd/lenovo-v15-gen-4-laptop,55500,10.924138299734526,Lenovo,Intel,8,512,FALSE
"Lenovo ThinkBook 14 G8 IRL Core 3 100U 14"" WUXGA Laptop",https://www.startech.com.bd/lenovo-thinkbook-14-g8-irl-laptop,61000,11.018629143155449,Lenovo,Intel,8,512,FALSE
